"","E1A_profile","E1B_profile","E1C_profile","E2A_profile","E2B_profile","E3A_profile","E3B_profile","E3C_profile","E3D_profile","E4A_profile","E1A_sd","E1B_sd","E1C_sd","E2A_sd","E2B_sd","E3A_sd","E3B_sd","E3C_sd","E3D_sd","E4A_sd"
"10:30",3.17950684931507e-05,3.10338082191781e-05,2.96757260273973e-05,4.13633424657534e-05,3.52490136986301e-05,4.30919452054794e-05,3.83125479452055e-05,3.83125479452055e-05,3.06693698630137e-05,0,4.26757913311326e-06,3.60041412704094e-06,4.81236654805769e-06,1.31592908224979e-05,6.96391547943805e-06,1.468600882717e-05,1.02422148041591e-05,1.02422148041591e-05,1.0371250879187e-06,0
"10:45",3.17677808219178e-05,3.09947123287671e-05,2.97525753424658e-05,4.19730410958904e-05,3.55213698630137e-05,4.3411397260274e-05,3.84785479452055e-05,3.84785479452055e-05,3.05779178082192e-05,0,4.34916990389291e-06,3.67948593473884e-06,4.82531470794486e-06,1.33529219056593e-05,7.00931834936291e-06,1.47959367554363e-05,1.02435152269339e-05,1.02435152269339e-05,1.0514495717899e-06,0
"11:00",3.17975342465753e-05,3.10640547945206e-05,2.9905095890411e-05,4.25076164383562e-05,3.58325753424658e-05,4.3611698630137e-05,3.86178356164384e-05,3.86178356164384e-05,3.04827123287671e-05,0,4.41027103550945e-06,3.80653674289521e-06,4.89928934116695e-06,1.34584228320855e-05,7.05765420730074e-06,1.48258887348131e-05,1.02253823096986e-05,1.02253823096986e-05,1.07257907159338e-06,0
"11:15",3.19409863013699e-05,3.12343835616438e-05,3.01410684931507e-05,4.2922e-05,3.60956164383562e-05,4.37036164383562e-05,3.87231780821918e-05,3.87231780821918e-05,3.05292054794521e-05,0,4.484444495267e-06,3.96310525460398e-06,5.02469677705429e-06,1.34945250640138e-05,7.08851438780388e-06,1.48219116111425e-05,1.02026370639585e-05,1.02026370639585e-05,1.08762831703383e-06,0
"11:30",3.21718630136986e-05,3.15189315068493e-05,3.0463397260274e-05,4.31882191780822e-05,3.6273095890411e-05,4.37322739726027e-05,3.87908219178082e-05,3.87908219178082e-05,3.05804657534247e-05,0,4.60617023262845e-06,4.149899801282e-06,5.09890350941691e-06,1.34060207220555e-05,7.0643661594856e-06,1.48023360953863e-05,1.01628415427819e-05,1.01628415427819e-05,1.10420825996679e-06,0
"11:45",3.24084109589041e-05,3.18144383561644e-05,3.08703835616438e-05,4.30983561643836e-05,3.63862191780822e-05,4.32619726027397e-05,3.88155342465753e-05,3.88155342465753e-05,3.05223561643836e-05,0,4.72236596688083e-06,4.33820948843618e-06,5.15886656622176e-06,1.31376865858812e-05,6.97746568779499e-06,1.45175776537725e-05,1.01266283483475e-05,1.01266283483475e-05,1.09720120178299e-06,0
"12:00",3.25075890410959e-05,3.20027671232877e-05,3.12070684931507e-05,4.25740821917808e-05,3.62769589041096e-05,4.24717808219178e-05,3.87295616438356e-05,3.87295616438356e-05,3.04490684931507e-05,0,4.75919228486044e-06,4.50577849538408e-06,5.20071575887747e-06,1.2600154435816e-05,6.76074243362377e-06,1.4028090944823e-05,1.00587802017926e-05,1.00587802017926e-05,1.09279167063338e-06,0
"12:15",3.24578630136986e-05,3.2039095890411e-05,3.13592328767123e-05,4.16501369863014e-05,3.59635890410959e-05,4.12283561643836e-05,3.85530410958904e-05,3.85530410958904e-05,3.0409397260274e-05,0,4.68452811524297e-06,4.59296392179752e-06,5.28022965732372e-06,1.1870514039106e-05,6.46432717455265e-06,1.32747381147673e-05,9.98229423248538e-06,9.98229423248538e-06,1.09076728135766e-06,0
"12:30",3.2268301369863e-05,3.1993397260274e-05,3.13064657534247e-05,4.10593150684932e-05,3.55884109589041e-05,4.02933150684931e-05,3.83039726027397e-05,3.83039726027397e-05,3.03767945205479e-05,0,4.53644695250399e-06,4.5932021520213e-06,5.36814104685796e-06,1.14193015616523e-05,6.19207546521459e-06,1.27259189405413e-05,9.86466966130746e-06,9.86466966130746e-06,1.09977663764837e-06,0
"12:45",3.20565753424658e-05,3.1976602739726e-05,3.11212602739726e-05,4.09600547945205e-05,3.54609863013699e-05,4.01089589041096e-05,3.82305479452055e-05,3.82305479452055e-05,3.03343561643836e-05,0,4.41015181866521e-06,4.50049282630945e-06,5.504275516069e-06,1.13671118282381e-05,6.11887690013802e-06,1.26830632939183e-05,9.84055081579643e-06,9.84055081579643e-06,1.11856974721822e-06,0
"13:00",3.18384383561644e-05,3.19779726027397e-05,3.0887095890411e-05,4.12434520547945e-05,3.55111232876712e-05,4.08722191780822e-05,3.82976712328767e-05,3.82976712328767e-05,3.02941369863014e-05,0,4.35759927662786e-06,4.33972276540403e-06,5.68393014318859e-06,1.1644372131476e-05,6.21507469022602e-06,1.32322266138628e-05,9.87945397128486e-06,9.87945397128486e-06,1.13503261940671e-06,0
"13:15",3.16482465753425e-05,3.19462739726027e-05,3.05786301369863e-05,4.15984109589041e-05,3.5631698630137e-05,4.18362465753425e-05,3.84552054794521e-05,3.84552054794521e-05,3.02525479452055e-05,0,4.37439172468717e-06,4.17319643632568e-06,5.82827512866911e-06,1.1943147223403e-05,6.38681887550345e-06,1.39069579152134e-05,9.98165552422871e-06,9.98165552422871e-06,1.11923483773877e-06,0
"13:30",3.14255342465753e-05,3.18300821917808e-05,3.01973698630137e-05,4.19102465753425e-05,3.57014246575342e-05,4.24000273972603e-05,3.85472602739726e-05,3.85472602739726e-05,3.02142191780822e-05,0,4.40166671130639e-06,4.06051670016844e-06,5.84795673790683e-06,1.21808467782719e-05,6.45807835093017e-06,1.43156013315112e-05,1.00364996060087e-05,1.00364996060087e-05,1.10715716354817e-06,0
"13:45",3.11678904109589e-05,3.16086849315068e-05,2.97614794520548e-05,4.21701095890411e-05,3.57635890410959e-05,4.24906301369863e-05,3.85421917808219e-05,3.85421917808219e-05,3.02e-05,0,4.39249480902344e-06,4.02801909457779e-06,5.75136056552352e-06,1.23394019566306e-05,6.44591893174316e-06,1.44341085432042e-05,1.00596741812769e-05,1.00596741812769e-05,1.11027023737467e-06,0
"14:00",3.08770410958904e-05,3.13348493150685e-05,2.93471232876712e-05,4.23388493150685e-05,3.58481917808219e-05,4.24329315068493e-05,3.85086575342466e-05,3.85086575342466e-05,3.01887397260274e-05,0,4.36799222252041e-06,4.05356481177687e-06,5.62080077188082e-06,1.24440559442095e-05,6.43055694753003e-06,1.44520127845749e-05,1.0050208056754e-05,1.0050208056754e-05,1.12095110258166e-06,0
"14:15",3.05995342465753e-05,3.10658630136986e-05,2.8974602739726e-05,4.22489863013699e-05,3.59060273972603e-05,4.21325479452055e-05,3.84198904109589e-05,3.84198904109589e-05,3.01793150684931e-05,0,4.32308829020359e-06,4.07277528199957e-06,5.46009365419952e-06,1.23771363928929e-05,6.46370031889119e-06,1.43313535792408e-05,1.00256851997368e-05,1.00256851997368e-05,1.14112019472568e-06,0
"14:30",3.03324383561644e-05,3.08466301369863e-05,2.86383835616438e-05,4.2108904109589e-05,3.58767397260274e-05,4.1761095890411e-05,3.83050410958904e-05,3.83050410958904e-05,3.01781095890411e-05,0,4.26805226502515e-06,4.03188369627623e-06,5.31431824638917e-06,1.23051551514485e-05,6.50125258858113e-06,1.4130292450257e-05,9.98496819735309e-06,9.98496819735309e-06,1.16438777435017e-06,0
"14:45",3.00969863013699e-05,3.0662602739726e-05,2.83474246575342e-05,4.18693424657534e-05,3.57554246575342e-05,4.09968767123288e-05,3.81571780821918e-05,3.81571780821918e-05,3.02099726027397e-05,0,4.21402801384378e-06,3.92929132224214e-06,5.16117314033885e-06,1.22101159693118e-05,6.48177611393271e-06,1.37182904534613e-05,9.93412245711341e-06,9.93412245711341e-06,1.18321282179704e-06,0
"15:00",2.99251232876712e-05,3.04820821917808e-05,2.81406301369863e-05,4.15706575342466e-05,3.55843835616438e-05,4.04792054794521e-05,3.79828219178082e-05,3.79828219178082e-05,3.02435342465753e-05,0,4.19666989889042e-06,3.83095016530496e-06,5.05992739682865e-06,1.21124231296614e-05,6.41186862802302e-06,1.34310875928736e-05,9.86294544439331e-06,9.86294544439331e-06,1.20213082430388e-06,0
"15:15",2.98576438356164e-05,3.0334904109589e-05,2.80372602739726e-05,4.12060273972603e-05,3.54688219178082e-05,4.00626575342466e-05,3.78313424657534e-05,3.78313424657534e-05,3.02439178082192e-05,0,4.24328479621736e-06,3.81553573847094e-06,4.99143746507814e-06,1.20024507730583e-05,6.37830138464501e-06,1.32575443504377e-05,9.78888656160196e-06,9.78888656160196e-06,1.21129743529095e-06,0
"15:30",2.99118630136986e-05,3.0274904109589e-05,2.80566849315069e-05,4.09757534246575e-05,3.54323287671233e-05,3.98361369863014e-05,3.77009315068493e-05,3.77009315068493e-05,3.02485753424658e-05,0,4.34885033852598e-06,3.91180410082066e-06,4.97398559119828e-06,1.19485922567077e-05,6.39949189272256e-06,1.31820950048711e-05,9.70701016702148e-06,9.70701016702148e-06,1.22594733405389e-06,0
"15:45",3.01489863013699e-05,3.04063287671233e-05,2.82660547945205e-05,4.07722739726027e-05,3.54390136986301e-05,3.90802739726027e-05,3.7528602739726e-05,3.7528602739726e-05,3.02884109589041e-05,0,4.54834522648209e-06,4.14319874320327e-06,4.99823037885072e-06,1.18664754032594e-05,6.43342180006131e-06,1.27799307996332e-05,9.59362096146133e-06,9.59362096146133e-06,1.24611757329434e-06,0
"16:00",3.06388493150685e-05,3.08462191780822e-05,2.88282739726027e-05,4.03070136986301e-05,3.54533698630137e-05,3.77701917808219e-05,3.72785205479452e-05,3.72785205479452e-05,3.03280273972603e-05,0,4.89057827001509e-06,4.51795811802462e-06,5.15988377621759e-06,1.16086184643527e-05,6.43710324821733e-06,1.1967875233327e-05,9.41880933206421e-06,9.41880933206421e-06,1.27190496971849e-06,0
