random_change,copy_best,learn_change,copy_all,inst_success,majority,time,inst_rule1,inst_rule2,inst_rule3,inst_rule4,inst_rule5,inst_rule6,voting,run_id,agent1_soc,agent2_soc,agent3_soc,agent4_soc,agent5_soc,agent6_soc,agent7_soc,agent8_soc,agent9_soc,agent10_soc,agent11_soc,agent12_soc,agent13_soc,agent14_soc,agent15_soc,agent16_soc,agent17_soc,agent18_soc,agent19_soc,agent20_soc,agent21_soc,agent22_soc,agent23_soc,agent24_soc
0.3,0.5,0.2,all,0.5,True,1,0.0,0.0,0.0,0.0,0.0,0.0,False,1,23.289871267824758,20.650775478458403,20.765887246185024,21.868133465768086,21.950942464835155,22.231691141586246,23.22516206153827,20.808034324238957,22.558750976068474,19.249968852612316,19.835039122694415,23.75165380689946,22.059980415225645,21.213514267553382,21.70891668220493,19.74407310032333,24.92728002463606,18.928006479614695,17.81311236861615,21.270341892219797,18.518049266374987,24.83174771739069,19.90626508461057,19.48753516632378
0.3,0.5,0.2,all,0.5,True,2,0.0,0.0,0.0,0.0,0.0,0.0,False,1,24.539871267824758,21.150775478458403,22.015887246185024,22.868133465768086,21.950942464835155,22.981691141586246,23.97516206153827,21.808034324238957,22.558750976068474,19.249968852612316,21.085039122694415,24.25165380689946,22.809980415225645,21.963514267553382,22.95891668220493,20.24407310032333,26.17728002463606,19.428006479614695,18.56311236861615,22.270341892219797,19.268049266374987,24.83174771739069,20.90626508461057,20.73753516632378
0.3,0.5,0.2,all,0.5,True,3,0.0,0.0,0.0,0.0,0.0,0.0,False,1,25.789871267824758,21.650775478458403,23.265887246185024,23.868133465768086,21.950942464835155,23.731691141586246,24.72516206153827,22.808034324238957,22.558750976068474,19.249968852612316,22.335039122694415,24.75165380689946,23.559980415225645,22.713514267553382,24.20891668220493,20.74407310032333,27.42728002463606,19.928006479614695,19.31311236861615,23.270341892219797,20.018049266374987,24.83174771739069,21.90626508461057,21.98753516632378
0.3,0.5,0.2,all,0.5,True,4,0.0,0.0,0.0,0.0,0.0,0.0,False,1,27.039871267824758,22.150775478458403,24.515887246185024,24.868133465768086,21.950942464835155,24.481691141586246,25.47516206153827,23.808034324238957,22.558750976068474,19.249968852612316,23.585039122694415,25.25165380689946,24.309980415225645,23.463514267553382,25.45891668220493,21.24407310032333,28.67728002463606,20.428006479614695,20.06311236861615,24.270341892219797,20.768049266374987,24.83174771739069,22.90626508461057,23.23753516632378
0.3,0.5,0.2,all,0.5,True,5,0.0,0.0,0.0,0.0,0.0,0.0,False,1,28.289871267824758,22.650775478458403,25.765887246185024,25.868133465768086,21.950942464835155,25.231691141586246,26.22516206153827,24.808034324238957,22.558750976068474,19.249968852612316,24.835039122694415,25.75165380689946,25.059980415225645,24.213514267553382,26.70891668220493,21.74407310032333,29.92728002463606,20.928006479614695,20.81311236861615,25.270341892219797,21.518049266374987,24.83174771739069,23.90626508461057,24.48753516632378
0.3,0.5,0.2,all,0.5,True,6,0.0,0.0,0.0,0.0,0.0,0.0,False,1,29.539871267824758,23.150775478458403,27.015887246185024,26.868133465768086,21.950942464835155,25.981691141586246,26.97516206153827,25.808034324238957,22.558750976068474,19.249968852612316,26.085039122694415,26.25165380689946,25.809980415225645,24.963514267553382,27.95891668220493,22.24407310032333,31.17728002463606,21.428006479614695,21.56311236861615,26.270341892219797,22.268049266374987,24.83174771739069,24.90626508461057,25.73753516632378
0.3,0.5,0.2,all,0.5,True,7,0.0,0.0,0.0,0.0,0.0,0.0,False,1,30.789871267824758,23.650775478458403,28.265887246185024,27.868133465768086,21.950942464835155,26.731691141586246,27.72516206153827,26.808034324238957,22.558750976068474,19.249968852612316,27.335039122694415,26.75165380689946,26.559980415225645,25.713514267553382,29.20891668220493,22.74407310032333,32.42728002463606,21.928006479614695,22.31311236861615,27.270341892219797,23.018049266374987,24.83174771739069,25.90626508461057,25.98753516632378
0.3,0.5,0.2,all,0.5,True,8,0.0,0.0,0.0,0.0,0.0,0.0,False,1,32.03987126782476,24.150775478458403,29.515887246185024,28.868133465768086,21.950942464835155,27.481691141586246,28.47516206153827,27.808034324238957,22.558750976068474,19.249968852612316,28.585039122694415,27.25165380689946,27.309980415225645,26.463514267553382,30.45891668220493,23.24407310032333,33.67728002463606,22.428006479614695,23.06311236861615,28.270341892219797,23.768049266374987,24.83174771739069,26.90626508461057,26.23753516632378
0.3,0.5,0.2,all,0.5,True,9,0.0,0.0,0.0,0.0,0.0,0.0,False,1,33.28987126782476,24.650775478458403,30.765887246185024,29.868133465768086,21.950942464835155,28.231691141586246,29.22516206153827,28.808034324238957,22.558750976068474,19.249968852612316,29.835039122694415,27.75165380689946,28.059980415225645,27.213514267553382,31.70891668220493,23.74407310032333,34.92728002463606,22.928006479614695,23.81311236861615,29.270341892219797,24.518049266374987,24.83174771739069,27.90626508461057,26.48753516632378
0.3,0.5,0.2,all,0.5,True,10,0.0,0.0,0.0,0.0,0.0,0.0,False,1,34.53987126782476,25.150775478458403,31.015887246185024,30.868133465768086,21.950942464835155,28.981691141586246,29.97516206153827,29.808034324238957,22.558750976068474,19.249968852612316,31.085039122694415,28.25165380689946,28.809980415225645,27.963514267553382,32.95891668220493,24.24407310032333,36.17728002463606,23.428006479614695,24.56311236861615,30.270341892219797,25.268049266374987,24.83174771739069,28.90626508461057,26.73753516632378
